name,address1,address2,address3,borough_code,borough_name,os_addressbase_uprn,ward_2018_code,ward_2018_name,website,longitude,latitude,easting,northing,runtime
Coach & Horses,684 London Road,Hounslow,,E09000018,Hounslow,,E05000358,Hounslow Central,,-0.35081943093994733,51.471693526009254,514641.4977485739,176037.01322698192,08/25/2019
Gio's Bar,113 High Street,Hounslow,,E09000018,Hounslow,,E05000358,Hounslow Central,,-0.35815080592802184,51.46962024825887,514137.4926568713,175795.01156254072,08/25/2019
Sun,148 Hanworth Road,Hounslow,,E09000018,Hounslow,,E05000358,Hounslow Central,,-0.3619249819889668,51.46715514900258,513881.4904383357,175515.0080414716,08/25/2019
Lord Clyde,77 Inwood Road,Hounslow,,E09000018,Hounslow,,E05000358,Hounslow Central,,-0.35946429523367435,51.465915759531924,514055.49297004135,175381.00643158006,08/25/2019
Bell,2 Staines Road,Hounslow,,E09000018,Hounslow,,E05000359,Hounslow Heath,,-0.3664443943272817,51.46759590190023,513566.4862412973,175557.01089734066,08/25/2019
Moon Under Water,84-88 Staines Road,Hounslow,,E09000018,Hounslow,,E05000359,Hounslow Heath,,-0.36931673240067714,51.46698843883485,513368.4843456344,175485.01131164626,08/25/2019
Lamplighter,66 Staines Road,Hounslow,,E09000018,Hounslow,,E05000359,Hounslow Heath,,-0.36931673240067714,51.46698843883485,513368.4843456344,175485.01131164626,08/25/2019
Royal Albion,58 Hibernia Road,Hounslow,,E09000018,Hounslow,,E05000359,Hounslow Heath,,-0.36893735100624225,51.46430344044175,513401.4853410923,175187.01044667384,08/25/2019
Cross Lances,236 Hanworth Road,Hounslow,,E09000018,Hounslow,,E05000359,Hounslow Heath,,-0.36434069516872525,51.46482389130583,513719.48891345714,175252.00837371446,08/25/2019
White Bear,198 Kingsley Road,Hounslow,,E09000018,Hounslow,,E05000358,Hounslow Central,,-0.36059686941402647,51.47609311308311,513951.4879961008,176511.026531231,08/25/2019
Black Horse,203 Lampton Road,Hounslow,,E09000018,Hounslow,,E05000358,Hounslow Central,,-0.3632951674441391,51.477146971187416,513761.4859250642,176624.03029705177,08/25/2019
Hussar,495-497 Staines Road,Hounslow,,E09000018,Hounslow,,E05000361,Hounslow West,,-0.38726823816828726,51.463361075456376,512130.4783256095,175054.01642819785,08/25/2019
Honeycombe,417 Staines Road,Hounslow,,E09000018,Hounslow,,E05000361,Hounslow West,,-0.38726823816828726,51.463361075456376,512130.4783256095,175054.01642819785,08/25/2019
African Queen,315 Wellington Road South,Hounslow,,E09000018,Hounslow,,E05000359,Hounslow Heath,,-0.3759443363490604,51.46157712160117,512921.4836241657,174873.0115342412,08/25/2019
Keg & Cask,286 Bath Road,Hounslow,,E09000018,Hounslow,,E05000361,Hounslow West,,-0.3865469289477894,51.47279326316678,512157.47530327766,176104.0373200096,08/25/2019
Rose & Crown,220 Heston Road,Heston,Hounslow,E09000018,Hounslow,,E05000356,Heston East,,-0.3731213542230718,51.48631224908612,513056.47842697566,177628.06060874893,08/25/2019
Queen's Head,123 High Street,Cranford,,E09000018,Hounslow,,E05000357,Heston West,,-0.40530062556813756,51.485009851215054,510825.4442443572,177434.07365080068,08/25/2019
Airlinks Golf Course Bar,Southall Lane,Southall,,E09000018,Hounslow,,E05000357,Heston West,,-0.40038019255888313,51.49350367074271,511146.44042845466,178386.09536021313,08/25/2019
Jolly Waggoner,618 Bath Road,Cranford,,E09000018,Hounslow,,E05000350,Cranford,,-0.40570334553138904,51.47800120088602,510814.45275305375,176654.05637456063,08/25/2019
Bar Kahva,734 Bath Road,Cranford,,E09000018,Hounslow,,E05000350,Cranford,,-0.41196990967605357,51.47959694928293,510375.44024117955,176822.0585294864,08/25/2019
London's Pride,Terminal 2 Airside,Heathrow Airport,Hounslow,E09000017,Hillingdon,,E05000331,Heathrow Villages,,-0.4495584934011519,51.46977708247814,507788.4109525338,175674.08521237783,08/25/2019
Flying Chariot,Terminal 2 Landside,Heathrow Airport,Hounslow,E09000017,Hillingdon,,E05000331,Heathrow Villages,,-0.4495584934011519,51.46977708247814,507788.4109525338,175674.08521237783,08/25/2019
Pilots,Terminal 3 Airside Level 1,Heathrow Airport,Hounslow,E09000017,Hillingdon,,E05000331,Heathrow Villages,,-0.45826246933162823,51.470836209689374,507181.3964570004,175779.1054926836,08/25/2019
Three Magpies,Bath Road,Heathrow,,E09000017,Hillingdon,,E05000331,Heathrow Villages,,-0.45084641160812433,51.48107079437416,507672.39017061965,176928.13274889765,08/25/2019
Crown Rivers,Terminal 5 Airside Level 1,Heathrow Airport,Hounslow,E09000017,Hillingdon,,E05000331,Heathrow Villages,,-0.48723913897736953,51.47149256514529,505167.3556184339,175810.1286080237,08/25/2019
Wetherspoon Express,Terminal 5B Airside,Heathrow Airport,Hounslow,E09000017,Hillingdon,,E05000331,Heathrow Villages,,-0.48723913897736953,51.47149256514529,505167.3556184339,175810.1286080237,08/25/2019
George,Terminal 5 Landside Level 3 (Departures),Heathrow Airport,Hounslow,E09000017,Hillingdon,,E05000331,Heathrow Villages,,-0.48723913897736953,51.47149256514529,505167.3556184339,175810.1286080237,08/25/2019
Huxleys,Terminal 5 Airside Level 2,Heathrow Airport,Hounslow,E09000017,Hillingdon,,E05000331,Heathrow Villages,,-0.48723913897736953,51.47149256514529,505167.3556184339,175810.1286080237,08/25/2019
V Bar,Terminal 5 Airside,Heathrow Airport,,E09000017,Hillingdon,,E05000331,Heathrow Villages,,-0.48723913897736953,51.47149256514529,505167.3556184339,175810.1286080237,08/25/2019
Prince of Wales,Terminal 4 Airside,Heathrow Airport,,E09000017,Hillingdon,,E05000331,Heathrow Villages,,-0.4473528536947876,51.45966718122641,507965.43723345717,174553.04059000383,08/25/2019
Commission,Terminal 4 (Airside),Heathrow Airport,Hounslow,E09000017,Hillingdon,,E05000331,Heathrow Villages,,-0.4473528536947876,51.45966718122641,507965.43723345717,174553.04059000383,08/25/2019
Milford Arms,574 London Road,Isleworth,,E09000018,Hounslow,,E05000358,Hounslow Central,,-0.34577010289375465,51.47355579384798,514987.5022085575,176252.01752167067,08/25/2019
Bridge Inn,457 London Road,Isleworth,,E09000018,Hounslow,,E05000364,Syon,,-0.3358504557303757,51.4750970399201,515672.51127453597,176439.02145118878,08/25/2019
Rising Sun,407 London Road,Isleworth,,E09000018,Hounslow,,E05000364,Syon,,-0.3325961006252121,51.47549144741044,515897.5146845808,176488.0228196812,08/25/2019
Coach & Horses,183 London Road,Isleworth,,E09000018,Hounslow,,E05000364,Syon,,-0.3201236176466018,51.47946804510013,516753.5260841374,176950.03863881767,08/25/2019
Osterley Park Hotel,764 Great West Road,Osterley,,E09000018,Hounslow,,E05000363,Osterley and Spring Grove,,-0.33344332320431774,51.483066229239384,515819.50707160844,177329.04235013126,08/25/2019
Hare & Hounds,Windmill Lane,Osterley,Wyke Green,E09000018,Hounslow,,E05000363,Osterley and Spring Grove,,-0.3392525623981009,51.49164662953377,515394.5047826765,178274.06877612794,08/25/2019
Cinnamon Lounge,181 Twickenham Road,Isleworth,,E09000018,Hounslow,,E05000364,Syon,,-0.3285096935912778,51.47224991898619,516189.52497443836,176134.01658224745,08/25/2019
London Apprentice,62 Church Street,Isleworth,,E09000018,Hounslow,,E05000362,Isleworth,,-0.32144379932845724,51.47096197854579,516683.5364045506,176002.01517447876,08/25/2019
Royal Oak,128 Worton Road,Isleworth,,E09000018,Hounslow,,E05000362,Isleworth,,-0.33905924444934926,51.46722911044003,515469.51790800935,175559.004217982,08/25/2019
Woodlands,29 St Johns Road,Isleworth,,E09000018,Hounslow,,E05000362,Isleworth,,-0.33740601468268466,51.47270910876298,515570.51286698354,176171.0161780109,08/25/2019
Red Lion,92/94 Linkfield Road,Isleworth,,E09000018,Hounslow,,E05000364,Syon,,-0.3330250214866906,51.47320445029917,515873.5175564155,176233.01776601624,08/25/2019
Swan Inn,1 Swan Street,Isleworth,,E09000018,Hounslow,,E05000362,Isleworth,,-0.3228156449330485,51.469282015703456,516592.5372418747,175813.01125589956,08/25/2019
Town Wharf,"Town Wharf, Swan Street",Old Isleworth,,E09000018,Hounslow,,E05000362,Isleworth,,-0.32224068037446296,51.46925580597988,516632.5380609101,175811.0113120181,08/25/2019
Castle,18 Upper Square,Isleworth,,E09000018,Hounslow,,E05000362,Isleworth,,-0.3246055164013698,51.46837237637519,516470.5362546213,175709.00892810174,08/25/2019
Victoria Tavern,56 Worple Road,Isleworth,,E09000018,Hounslow,,E05000362,Isleworth,,-0.3282499013523929,51.46359540500722,516229.5371030587,175171.99947050132,08/25/2019
Caspari Lounge & Restaurant,55 High Street,Brentford,,E09000018,Hounslow,,E05000364,Syon,,-0.30252760084654634,51.48444846474778,517962.53995350155,177532.0664288681,08/25/2019
Watermans Arms,1 Ferry Lane,Brentford,,E09000018,Hounslow,,E05000364,Syon,,-0.30094610790959225,51.483984929235696,518073.5416985157,177483.0657019862,08/25/2019
O'Riordans Tavern,3 High Street,Brentford,,E09000018,Hounslow,,E05000347,Brentford,,-0.292046227885188,51.487812488846124,518681.55105595314,177923.0876400789,08/25/2019
Express Tavern,56 Kew Bridge Road,Brentford,,E09000018,Hounslow,,E05000347,Brentford,,-0.2882115800451741,51.48905154848771,518944.55511075945,178067.09517357702,08/25/2019
Stable,"Unit 12, 8 Kew Bridge Road",Brentford,,E09000018,Hounslow,,E05000347,Brentford,,-0.2883212598033931,51.48804596860686,518939.55507380865,177955.09135254746,08/25/2019
One Over The Ait,8 Kew Bridge Road,Brentford,,E09000018,Hounslow,,E05000347,Brentford,,-0.2883212598033931,51.48804596860686,518939.55507380865,177955.09135254746,08/25/2019
Beehive,227 High Street,Brentford,,E09000018,Hounslow,,E05000364,Syon,,-0.30628425542715326,51.483738385500054,517703.53604570846,177447.06137858937,08/25/2019
